date,time,weight
2/12/2024,10:30,67.55
2/12/2024,10:30,67.55
2/12/2024,11:00,66.98
2/12/2024,11:00,66.98
2/12/2024,11:30,66.38
2/12/2024,11:30,66.38
2/12/2024,11:45,65.82
2/12/2024,11:45,65.82
2/12/2024,12:05,64.86
2/12/2024,12:20,64.86
2/12/2024,12:45,64.22
2/12/2024,12:45,64.22
2/12/2024,13:09,63.07
2/12/2024,13:30,63.07
2/12/2024,14:15,61.89
2/12/2024,14:30,61.89
2/12/2024,15:00,61.23
2/12/2024,15:00,61.23
2/12/2024,15:30,60.63
2/12/2024,15:30,60.63
2/12/2024,16:00,59.84
2/12/2024,16:00,59.84
2/12/2024,17:00,58.12
2/12/2024,17:00,58.12
2/13/2024,10:30,58.99
2/13/2024,10:30,58.99
2/13/2024,10:41,NA
2/13/2024,10:53,NA
2/13/2024,11:10,58.16
2/13/2024,13:40,57.77
2/13/2024,14:07,57.28
2/13/2024,14:07,57.28
2/13/2024,14:40,56.5
2/13/2024,14:40,56.5
2/13/2024,15:15,55.88
2/13/2024,15:15,55.88
2/13/2024,15:50,55.14
2/13/2024,15:50,55.14
2/13/2024,16:30,54.28
2/13/2024,16:30,54.28
2/14/2024,10:45,53.01
2/14/2024,10:45,53.01
2/14/2024,11:45,52.03
2/14/2024,11:45,52.03
2/14/2024,12:25,51.45
2/14/2024,12:25,51.45
2/14/2024,13:15,50.73
2/14/2024,13:15,50.73
2/14/2024,14:05,50.06
2/14/2024,14:05,50.06
2/14/2024,14:50,49.34
2/14/2024,14:50,49.34
2/14/2024,15:30,48.7
2/14/2024,15:30,48.7
2/14/2024,16:10,48.09
2/14/2024,16:10,48.09
2/14/2024,16:50,47.39
2/14/2024,16:50,47.39
2/14/2024,17:25,46.87
2/14/2024,17:25,46.87
2/15/2024,10:35,44.91
2/15/2024,10:35,44.91
2/15/2024,11:30,44.13
2/15/2024,11:30,44.13
2/15/2024,12:10,43.72
2/15/2024,12:10,43.72
2/15/2024,12:45,57.9
2/15/2024,13:00,57.9
2/15/2024,13:15,57.9
2/15/2024,13:30,57.9
2/15/2024,13:40,56.85
2/15/2024,14:00,59.4
2/15/2024,14:15,57.69
2/15/2024,15:40,60.06
2/15/2024,15:55,60.06
2/15/2024,16:05,60.06
2/15/2024,16:20,59.02
2/15/2024,16:30,59.02
2/15/2024,16:40,59.02
2/15/2024,16:50,57.95
2/16/2024,10:40,61.1
2/16/2024,10:56,61.1
2/16/2024,11:10,61.1
2/16/2024,11:22,59.89
2/16/2024,11:35,59.89
2/16/2024,11:45,59.89
2/16/2024,11:55,58.46
2/16/2024,13:01,59.31
2/16/2024,13:13,59.31
2/16/2024,13:55,60.77
2/16/2024,14:08,60.77
2/16/2024,14:20,59.98
2/16/2024,14:35,59.98
2/16/2024,14:40,59.98
2/16/2024,15:00,59.98
2/16/2024,15:55,56.49
2/26/2024,9:38,68.38
2/26/2024,9:55,68.38
2/26/2024,10:25,65.91
2/26/2024,10:39,65.91
2/26/2024,11:14,61.64
2/26/2024,11:33,61.64
2/26/2024,11:56,59.72
2/26/2024,12:13,59.72
2/26/2024,12:47,56
2/26/2024,13:03,56
2/26/2024,13:31,55.38
2/26/2024,13:46,55.38
2/26/2024,14:29,52.79
2/26/2024,14:50,52.79
2/26/2024,15:35,51.1
2/26/2024,15:49,51.1
2/26/2024,16:18,50.14
2/26/2024,16:33,50.14
2/27/2024,10:08,49.58
2/27/2024,10:30,49.58
2/27/2024,10:47,49.18
2/27/2024,10:59,49.18
2/27/2024,11:26,48.38
2/27/2024,11:42,48.38
2/27/2024,12:22,47.13
2/27/2024,12:38,47.13
2/27/2024,13:14,46.13
2/27/2024,13:27,46.13
2/27/2024,14:08,45.11
2/27/2024,14:27,45.11
2/27/2024,15:16,44.37
2/27/2024,15:38,44.37
2/28/2024,10:15,67.01
2/28/2024,10:50,67.01
2/28/2024,11:17,64.83
2/28/2024,11:33,64.83
2/28/2024,12:01,62.86
2/28/2024,12:16,62.86
2/28/2024,12:48,60.04
2/28/2024,13:02,60.04
2/28/2024,13:57,58.65
2/28/2024,14:08,58.65
2/28/2024,14:33,56.97
2/28/2024,14:48,56.97
2/28/2024,15:12,55.36
2/28/2024,15:28,55.36
2/28/2024,15:53,53.95
2/28/2024,16:02,53.95
2/28/2024,16:33,52.4
2/28/2024,16:44,52.4
2/29/2024,9:44,50.58
2/29/2024,10:51,50.58
2/29/2024,11:16,49.91
2/29/2024,11:45,49.91
2/29/2024,12:10,47.75
2/29/2024,12:24,47.75
2/29/2024,12:59,46.53
2/29/2024,13:09,46.53
2/29/2024,13:59,45.48
2/29/2024,14:09,45.48
2/29/2024,14:39,44.51
2/29/2024,14:50,44.51
2/29/2024,15:24,43.47
2/29/2024,15:35,43.47
3/1/2024,9:55,70.99
3/1/2024,10:19,70.99
3/1/2024,10:56,67.26
3/1/2024,11:32,67.26
3/1/2024,12:10,63.8
3/1/2024,12:32,63.8
3/1/2024,13:08,61.15
3/1/2024,13:31,61.15
3/1/2024,14:27,59.59
3/1/2024,14:44,59.59
3/1/2024,15:19,57.58
3/1/2024,15:36,57.58
3/1/2024,16:14,55.49
3/1/2024,16:28,55.49
3/1/2024,16:59,53.9
3/1/2024,17:15,53.9
4/3/2024,9:47,54.17
4/3/2024,10:18,54.17
4/3/2024,10:38,53.55
4/3/2024,10:53,53.55
4/3/2024,11:31,51.68
4/3/2024,11:47,51.68
4/3/2024,12:14,50.44
4/3/2024,12:33,50.44
4/3/2024,13:21,48.41
4/3/2024,13:35,48.41
4/3/2024,14:05,47.71
4/3/2024,14:16,47.71
4/3/2024,14:47,46.7
4/3/2024,15:03,46.7
4/3/2024,15:34,45.75
4/3/2024,15:42,45.75
4/3/2024,16:13,45.01
4/3/2024,16:24,45.01
4/3/2024,16:47,44.48
4/3/2024,16:56,44.48
5/3/2024,10:08,69.09
5/3/2024,10:21,69.09
5/3/2024,10:56,65.63
5/3/2024,11:10,65.63
